year,married(ten thousand pairs),mainland residents married(ten thousand pairs),mainland residents newly married(ten thousand persons),mainland residents remarried(ten thousand persons),foreigners/HongKong/Macao/Taiwan married(ten thousand pairs),divorced(ten thousand pairs),divorced ratio(â€°)
1978,597.80,,,,,28.50,
1985,831.30,829.06,1607.63,50.48,2.22,45.79,0.44
1986,884.00,882.29,1707.51,57.08,1.70,50.57,
1987,926.70,924.74,1788.09,61.39,2.00,58.15,
1988,899.20,897.18,1728.51,65.84,2.00,65.86,
1989,937.20,935.19,1796.00,74.40,2.00,75.30,0.68
1990,951.10,948.69,1819.13,78.24,2.38,80.00,0.69
1991,953.60,950.98,1820.32,81.65,2.64,83.10,0.72
1992,957.50,954.50,1832.10,76.91,2.96,84.96,0.74
1993,915.40,912.16,1747.01,77.32,3.28,91.00,0.77
1994,932.40,929.00,1779.33,78.67,3.38,98.20,0.82
1995,934.10,929.71,1776.07,83.35,4.40,105.60,0.88
1996,938.70,933.96,1781.72,86.20,4.72,113.40,0.93
1997,914.10,909.06,1725.95,92.16,5.08,119.90,0.97
1998,891.70,886.66,1675.37,97.94,5.03,119.20,0.96
1999,885.30,879.91,1659.36,100.46,5.42,120.15,0.96
2000,848.50,842.00,1581.39,102.62,6.49,121.29,0.96
2001,805.00,797.11,1481.74,112.49,7.87,125.05,0.98
2002,786.00,778.80,1440.30,117.10,7.28,117.70,0.90
2003,811.40,803.50,1483.90,123.30,7.83,133.00,1.05
2004,867.20,860.80,1569.60,152.00,6.35,166.50,1.28
2005,823.10,816.60,1483.00,163.10,6.43,178.50,1.37
2006,945.00,938.20,1705.60,184.40,6.82,191.30,1.46
2007,991.40,986.30,1779.70,203.10,5.11,209.80,1.59
2008,1098.30,1093.20,1972.50,224.10,5.10,226.90,1.71
2009,1212.40,1207.50,2168.80,256.00,4.92,246.80,1.85
2010,1241.00,1236.10,2200.90,281.10,4.90,267.80,2.00
2011,1302.36,1297.48,2309.88,294.85,4.88,287.40,2.13
2012,1323.59,1318.27,2361.17,286.02,5.33,310.38,2.29
2013,1346.93,1341.43,2385.96,307.89,5.50,350.01,2.57
2014,1306.74,1302.04,2286.81,326.68,4.70,363.68,2.67
2015,1224.71,1220.59,2108.97,340.44,4.12,384.14,2.79
2016,1142.82,1138.61,1913.26,372.39,4.22,415.82,3.02
2017,1063.10,1059.04,1746.33,379.86,4.05,437.40,3.15
2018,1013.94,1009.11,1598.67,429.22,4.84,446.08,3.20
2019,927.33,922.39,1398.71,455.94,4.94,470.06,3.36
2020,814.33,812.60,1228.60,400.07,1.74,433.90,3.09
