lucency changed,blade size,tibial tuberosity area,tibial tuberosity width,age in years,weight in kilograms,location of the anti-rotational pin,bilateral surgery
0,24,168,6.72,13,27.72727,0,0
0,24,236.5,8.45,7,33.18182,0,0
0,24,285.5,10.2,5,45.90909,0,0
1,24,214.2,7.93,5,40.90909,0,0
0,24,248.75,8.29,5,46.36364,0,0
0,24,230,7.19,10,27.27273,1,0
0,18,141.5,6.43,9,15.45455,1,0
0,24,219,7.82,11,38.18182,1,0
0,24,297.5,9.6,5,39.09091,0,0
0,24,192.5,8.37,6,36.81818,0,0
0,24,188.5,8.57,10,34.09091,1,0
0,24,188.5,8.2,7,22.27273,1,0
0,24,337,10.21,6,36.36364,0,0
0,24,224.75,6.81,2,14.54545,0,0
0,24,312.25,12.49,2,55.45455,0,0
0,24,196.75,8.94,7,57.27273,0,1
1,24,232.5,9.3,7,57.27273,0,1
0,24,302.25,8.63,7,44.09091,0,0
0,24,249.25,8.9,4,47.72727,1,0
0,30,498.5,12.46,7,37.72727,0,0
0,30,481.5,11.46,4,54.54545,0,0
0,30,461,10.98,4,54.54545,0,0
0,30,363,11.71,2,52.72727,0,0
0,24,351.5,9.25,2,52.72727,1,0
0,30,381,11.2,2,52.72727,1,0
0,30,362.5,10.66,6,57.72727,0,0
0,24,283.25,8.85,5,33.18182,0,1
0,24,250.5,10.02,5,33.18182,0,1
0,24,198.5,7.35,7,24.54545,0,0
0,30,286.25,11.45,6,47.27273,0,0
0,24,227.5,7.58,2,30,0,0
0,30,346,12.36,7,37.27273,0,0
0,24,243.25,9.01,7,35.45455,0,0
0,24,164.25,9.12,7,35.45455,1,0
1,24,155.25,6.47,7,37.27273,0,0
0,24,345,11.13,2,48.63636,0,0
0,24,254.75,8.78,6,32.72727,0,1
0,24,275.75,8.9,6,32.72727,0,1
0,30,354.75,13.14,1,74.54545,0,0
0,30,327.75,11.7,1,74.54545,0,0
0,24,231.75,9.27,4,47.72727,0,0
0,18,160.25,7.28,11,20.45455,0,0
0,24,257.25,8.04,6,25,1,0
0,24,189.75,7.59,6,25,1,0
0,30,421.25,13.59,7,51.36364,0,0
0,24,263.5,7.98,5,23.18182,1,0
1,24,197.5,7.31,9,41.81818,1,0
0,24,313.25,9.49,3,42.72727,1,0
0,24,216.75,8.34,2,39.09091,1,0
0,24,292,10.07,3,39.09091,0,0
0,24,245.25,9.81,11,15.45455,0,0
0,24,162.25,6.49,4,84.09091,1,0
0,30,407,13.57,5,38.63636,1,0
0,24,382.25,10.61,3,54.54545,1,0
0,24,327,9.08,6,48.18182,1,0
0,24,262,8.73,6,48.18182,0,0
0,24,214.5,7.94,6,29.54545,1,0
1,30,329.75,8.91,5,53.63636,1,0
0,24,311.5,8.9,7,33.18182,1,0
0,24,200.25,7.7,5,28.63636,1,0
0,30,378.25,10.22,2,50,0,0
0,24,203.25,7.82,7,29.09091,1,0
0,24,272.25,10.89,6,16.36364,1,0
0,24,243.5,9.74,9,31.81818,0,0
0,18,193.75,7.45,10,21.81818,0,0
0,24,343.5,10.73,6,39.54545,0,0
0,24,219.75,7.32,4,39.54545,0,1
0,24,247.5,9.9,4,39.54545,0,1
0,24,250.5,8.64,5,25.45455,0,0
1,24,217.25,7.24,4,35.45455,0,1
1,24,223.25,7.7,4,35.45455,0,1
0,18,190.25,7.05,5,36.36364,0,0
0,30,391,11.5,8,45.45455,0,0
0,24,264,9.43,6,32.72727,0,0
0,24,249.5,8.91,3,23.63636,0,0
0,24,342,10.69,4,42.27273,0,0
0,30,303,10.45,3,62.72727,0,0
0,24,173.75,7.24,2,32.72727,0,0
0,24,287.75,10.28,2,32.72727,0,0
0,24,271,9.03,3,45.90909,0,1
0,24,226.75,9.07,3,45.90909,0,1
0,24,188,6.71,3,30.45455,0,0
0,24,313,12.52,6,31.81818,0,0
0,24,202.75,7.8,3,41.36364,0,0
0,24,228.75,7.89,5,49.09091,0,0
0,30,397.75,11.7,3,38.63636,0,0
0,24,323,9.23,4,37.72727,0,0
0,24,264.75,8.82,4,34.09091,0,0
0,24,322.25,9.76,3,51.81818,0,0
0,24,246.5,9.13,5,33.63636,0,0
0,24,211.5,8.13,4,27.72727,0,1
0,24,299.25,9.07,4,27.72727,0,1
0,18,150.75,7.18,9,14.54545,0,0
0,18,228.5,7.88,9,31.36364,0,0
0,24,242,7.12,5,44.09091,0,0
0,30,413.75,12.17,6,57.27273,0,0
0,24,202.75,8.11,2,30.45455,0,0
0,24,342.25,10.69,3,42.72727,0,0
0,24,187.5,6.7,2,32.72727,0,1
0,24,186.25,6.9,2,32.72727,0,1
0,24,321,10.03,11,32.72727,0,0
0,24,201.75,6.95,6,28.63636,0,0
0,24,278,9.93,3,40.90909,0,0
0,24,203.5,6.56,8,22.72727,0,0
1,24,266,8.31,7,34.54545,0,1
1,24,211,7.81,7,34.54545,0,1
0,24,206.25,8.97,10,20.90909,0,0
0,24,329.5,11.76,5,54.54545,0,0
0,24,226,9.04,4,35.90909,0,0
0,24,250.75,8.09,9,29.54545,0,1
0,24,301.5,9.42,9,29.54545,0,1
0,24,184.5,7.1,7,28.18182,0,0
0,24,284.5,9.48,10,44.54545,0,0
0,24,233.5,9.34,2,34.54545,0,0
0,30,316,11.28,4,53.63636,0,1
0,30,343.45,12.72,4,53.63636,0,1
0,24,165.5,6.62,7,27.72727,0,0
0,30,346.5,11.95,5,49.54545,0,0
0,24,184.5,6.59,8,18.63636,0,0
0,18,90,5,8,18.18182,0,0
0,24,261,8.42,8,28.18182,0,0
0,30,297.5,9.6,2,49.09091,0,0
0,24,178.25,6.6,8,15,0,0
0,18,159.5,6.64,6,15.90909,0,0
0,24,227,9.46,3,35.45455,0,0
0,24,248.25,7.76,3,35.45455,0,0
0,24,203,6.77,7,25.45455,0,0
0,24,222,6,8,22.72727,0,0
0,24,271,8.74,6,40.90909,0,0
0,30,461.25,13.18,5,38.63636,0,1
0,30,355.5,11.11,5,38.63636,0,1
0,24,235.75,9.07,7,46.36364,0,0
0,24,264.75,8.02,6,33.18182,0,1
0,24,297.5,9.6,6,33.18182,0,1
0,24,195.25,6.97,7,27.27273,0,0
0,24,211,8.79,5,48.63636,0,0
0,24,306,9.87,8,52.72727,0,0
0,30,468.25,12.32,3,79.09091,0,0
0,24,268.25,9.93,9,45.45455,0,0
0,24,278.75,7.74,6,34.09091,0,0
0,18,85.75,4.29,4,13.63636,0,0
0,24,229,7.63,4,34.09091,0,0
0,24,228.75,8.47,4,37.27273,0,0
0,24,225,10.23,5,38.63636,0,0
0,30,277.75,12.07,2,44.09091,0,1
0,30,359,11.58,2,44.09091,0,1
0,24,234.75,7.82,7,27.72727,0,0
0,24,322.75,10.76,9,36.36364,0,0
0,30,340,10.97,10,51.36364,0,0
0,30,329.75,10.99,3,41.81818,0,0
0,24,322.25,10.74,5,32.72727,0,1
0,24,391.75,13.51,5,32.72727,0,1
0,24,246.5,9.86,3,43.18182,0,0
0,24,242.75,8.37,6,30.45455,0,0
0,24,199.25,7.66,9,34.54545,0,0
0,24,244.5,8.73,9,31.36364,0,0
0,30,372.5,11.29,10,53.18182,0,0
1,24,265.25,8.29,3,46.81818,0,0
0,24,256.25,9.49,6,45.45455,0,0
1,18,96.25,5.66,11,24.09091,1,0
0,18,110.75,5.54,5,27.27273,0,0
0,24,201.25,8.75,7,35.45455,0,0
0,30,374,13.36,5,73.63636,0,0
0,30,325,10.16,6,46.36364,0,0
0,30,295.75,10.2,5,53.18182,0,1
0,30,283.75,8.87,5,53.18182,0,1
0,24,301.75,9.73,3,26.81818,0,0
1,30,367.5,11.14,6,56.81818,0,0
0,24,198.5,7.35,6,24.54545,0,0
0,24,289,9.03,8,45,0,0
0,24,279.5,9.02,4,33.18182,0,0
0,24,273.25,9.76,2,35,0,0
0,24,293.75,10.13,3,41.36364,0,0
0,24,306.75,10.95,8,54.54545,0,0
0,24,248,8.55,2,39.54545,0,0
0,30,445.5,14.85,2,68.18182,0,0
0,30,429,13,6,59.54545,0,0
0,24,284.75,9.49,9,37.72727,0,0
0,24,229,8.48,6,33.63636,0,1
0,24,233.25,8.04,6,33.63636,0,1
0,24,304,9.5,2,38.63636,0,1
0,24,186.25,8.1,2,38.63636,0,1
0,24,376.25,11.07,6,35.45455,1,0
0,24,228.25,8.15,2,39.54545,0,0
0,24,241.5,8.62,5,42.72727,0,0
0,30,322.75,11.53,6,50,0,0
0,24,265.75,7.59,5,36.81818,0,0
0,24,277.25,9.9,1,29.54545,0,0
0,24,245,8.75,9,36.81818,0,0
0,24,223.75,7.46,5,40.90909,0,0
0,30,581,14.9,5,49.09091,0,0
0,24,264,8.8,10,36.36364,0,0
0,24,238.25,8.51,3,37.72727,0,0
1,24,322.75,10.08,6,28.18182,0,1
1,24,309.5,9.1,6,28.18182,0,1
0,24,442.5,12.29,5,39.09091,1,0
0,24,220.25,7.87,5,76.36364,1,0
0,24,384,13.71,3,39.09091,0,0
0,24,198.25,9.91,3,36.81818,1,0
0,24,189.5,9.47,6,57.27273,1,0
0,24,241,8.92,6,39.09091,1,0
0,24,338,10.56,7,46.36364,1,0
0,24,379,9.47,10,39.09091,1,0
0,24,549,12.48,2,36.81818,1,0
0,24,210,11.05,6,40,1,0
1,24,211.25,8.8,10,33.18182,1,0
0,24,454,13.35,9,44.54545,1,1
1,24,319.5,8.87,9,44.54545,1,1
0,24,417.75,11.6,10,25.90909,1,1
0,24,311.75,9.45,10,25.90909,1,1
1,24,492.25,14.92,3,70,1,1
1,24,300.5,10.73,3,70,1,1
0,24,448.25,10.67,5,48.18182,1,0
0,24,414,9.41,5,54.54545,1,0
0,24,206.75,8.27,4,36.81818,1,0
0,24,200.25,7.7,4,40,1,0
0,24,387.75,13.37,3,54.54545,1,0
0,24,431.5,12.69,3,54.54545,1,0
1,24,241.5,9.66,9,50.90909,1,0